TLS_ID,stemlocx_[m]_x,stemlocy_[m]_x,Vol_QSM_avg_[m3]_x,BLEN (m),Hgt_pts_[m]_x,DBH_TLS_[m]_x,DBH_census_[m]_x,leaf_area,leaf_area_start
8370,22.26785745,141.4766041,0.0337,27.05421446,7.7981,0.07869,,7.5,14.9
8371,18.36185638,137.3343248,0.221,276.3915788,9.7094189,0.117977847,0.118,76.1,152.3
8373,0.380454951,165.6856789,0.1324,300.9850905,8.950477,0.098742347,0.092,82.9,165.8
8374,0.385237002,166.4439255,0.05363,102.0892784,6.677582,0.06737,0.078,28.1,56.2
8380,6.84379472,168.4068484,0.09304,180.4672627,7.747817,0.07221603,0.081,49.7,99.4
8381,6.500802136,168.9021847,0.1938,397.9754809,9.5969259,0.096433384,0.08,109.6,219.3
8382,6.778775203,160.0188164,0.09027,165.0810308,7.398307,0.098877224,0.097,45.5,91.0
8384,14.49269789,165.8564454,0.4234,670.7626267,10.5752128,0.130051637,,184.8,369.6
8385,14.09047318,166.1439125,0.1679,287.4960839,9.7502656,0.10252852,,79.2,158.4
8386,15.74422156,163.6541495,0.03248,71.78657818,4.788038,0.071859035,,19.8,39.6
8387,11.38625919,163.7122443,0.06844,115.2955283,8.8677929,0.093386267,,31.8,63.5
8388,21.80145371,168.9080925,0.2693,628.1082443,10.3770344,0.1063,,173.0,346.1
8389,18.81436411,165.9059827,0.2714,548.0789794,7.454275,0.1112,,151.0,302.0
8391,22.56054078,154.1098163,0.02893,77.51752934,4.9039,0.04584,,21.4,42.7
8393,23.42472472,149.4459956,0.01542,40.83247092,6.2274617,0.052289097,,11.2,22.5
8394,29.27500912,156.7250397,0.1422,301.8922686,8.9366653,0.101058614,,83.2,166.3
8395,31.42428829,155.9405188,0.03747,65.23016757,6.7270579,0.069615222,,18.0,35.9
8396,24.6128308,151.8073457,0.2208,449.5631978,9.4870425,0.114179582,,123.8,247.7
